schema_version,campaign_id,case_id,solve_id,classification,created_utc,completed_utc,git_commit,campaign_manifest_path,campaign_manifest_sha256,confirmatory_manifest_sha256,command,environment_json,radius_m,k_rad_m,ka,energy_density_j_m3,f0,f0_applicable,f1,material_model,temporal_convention,particle_count,particle_index,family,position_x_m,position_y_m,position_z_m,minimum_distance_m,distance_ratio,coordinate_sha256,model,force_channel,lmax,full_modes_per_particle,active_modes_per_particle,system_dimension,solver_name,force_x_n,force_y_n,force_z_n,force_x_over_a2e0,force_y_over_a2e0,force_z_over_a2e0,successive_change,absolute_change,change_applicable,confirmation_lmax,confirmed,finite,diagnostics_pass,eligible,failure_stage,ineligibility_reason,stop_reason,evidence_role,include_in_scientific_tables
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,total,19,400,190,380,balanced_sqrt,1.5952167407740931,2.4100417738045226e-17,0,1.5952167407740931,2.4100417738045226e-17,0,6.4870539502924569e-06,1.0348257059811239e-05,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,total,19,400,190,380,balanced_sqrt,-1.5952167407740931,2.1862804184543544e-16,0,-1.5952167407740931,2.1862804184543544e-16,0,6.4870539502924569e-06,1.0348257059811239e-05,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,interaction,19,400,190,380,balanced_sqrt,1.5952167407740931,2.4100417738045226e-17,0,1.5952167407740931,2.4100417738045226e-17,0,6.4870539502924569e-06,1.0348257059811239e-05,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,interaction,19,400,190,380,balanced_sqrt,-1.5952167407740931,2.1862804184543544e-16,0,-1.5952167407740931,2.1862804184543544e-16,0,6.4870539502924569e-06,1.0348257059811239e-05,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,external_scattered,19,400,190,380,balanced_sqrt,1.222439842025796,1.5994076320659308e-17,0,1.222439842025796,1.5994076320659308e-17,0,4.5831048293107167e-07,5.6025699435302556e-07,true,16,true,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,external_scattered,19,400,190,380,balanced_sqrt,-1.2224398420257963,1.6400280418956832e-16,0,-1.2224398420257963,1.6400280418956832e-16,0,4.5831048293107167e-07,5.6025699435302556e-07,true,16,true,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,scattered_scattered,19,400,190,380,balanced_sqrt,0.37277689874829711,8.1063414173859165e-18,0,0.37277689874829711,8.1063414173859165e-18,0,2.6256992046469174e-05,9.7880000655414801e-06,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,scattered_scattered,19,400,190,380,balanced_sqrt,-0.37277689874829695,5.4625237655867101e-17,0,-0.37277689874829695,5.4625237655867101e-17,0,2.6256992046469174e-05,9.7880000655414801e-06,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,total,20,441,210,420,balanced_sqrt,1.5952222558190035,2.2879269904401238e-17,0,1.5952222558190035,2.2879269904401238e-17,0,3.4572266590805799e-06,5.515044909976119e-06,true,20,true,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,total,20,441,210,420,balanced_sqrt,-1.5952222558190028,2.1264012561232559e-16,0,-1.5952222558190028,2.1264012561232559e-16,0,3.4572266590805799e-06,5.515044909976119e-06,true,20,true,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,interaction,20,441,210,420,balanced_sqrt,1.5952222558190035,2.2879269904401238e-17,0,1.5952222558190035,2.2879269904401238e-17,0,3.4572266590805799e-06,5.515044909976119e-06,true,20,true,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,interaction,20,441,210,420,balanced_sqrt,-1.5952222558190028,2.1264012561232559e-16,0,-1.5952222558190028,2.1264012561232559e-16,0,3.4572266590805799e-06,5.515044909976119e-06,true,20,true,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,external_scattered,20,441,210,420,balanced_sqrt,1.2224401242367531,1.4841491432820953e-17,0,1.2224401242367531,1.4841491432820953e-17,0,2.3085871538359326e-07,2.822109567146569e-07,true,16,true,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,external_scattered,20,441,210,420,balanced_sqrt,-1.2224401242367526,1.5938826601616401e-16,0,-1.2224401242367526,1.5938826601616401e-16,0,2.3085871538359326e-07,2.822109567146569e-07,true,16,true,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,0,resource_pilot,-1.05,-0,-0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,scattered_scattered,20,441,210,420,balanced_sqrt,0.37278213158225043,8.0377784715802854e-18,0,0.37278213158225043,8.0377784715802854e-18,0,1.403724457245584e-05,5.2328339532614621e-06,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
1.0.0,p1_dimer_resource_pilot,p1_pilot_rigid_ka010_d0210_t000,d97b7c88e857e92b1bdf3ec3b8418ca3ce4339ecd4cb57436fca988016901f61,development,2026-08-19T20:17:27.345044Z,2026-08-19T20:25:41.478313Z,a5a2a9c58f5e65b7986e24c7c64879246d946131,campaigns/p1/pilot_manifest.yaml,d8f56ce20f6f0821d84fd6f36e1f76c855f63f55d809ba9a7201ba52097a43bf,9d360de6e61d901cff3f84c477f367773251103db12386dbb8156bd1ec2addca,/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python scripts/run_p1_5_timed_pilot.py --execute,"{""machine"":""x86_64"",""mkl_num_threads"":""1"",""numexpr_num_threads"":""1"",""numpy_version"":""2.5.1"",""omp_num_threads"":""1"",""openblas_num_threads"":""1"",""platform"":""Linux-7.0.0-28-generic-x86_64-with-glibc2.39"",""python_executable"":""/home/luigui/Documents/silva-bruus-multiscattering/.venv/bin/python"",""python_version"":""3.12.3"",""pythonhashseed"":""0"",""scipy_version"":""1.18.0"",""veclib_maximum_threads"":""1""}",1,0.10000000000000001,0.10000000000000001,1,0,false,1,rigid,exp(-i omega t),2,1,resource_pilot,1.05,0,0,2.1000000000000001,2.1000000000000001,35c18368ed60abca1eef89b8aeeb1f09b16a455ce330dc4b04a08155543fb053,B_E,scattered_scattered,20,441,210,420,balanced_sqrt,-0.37278213158225015,5.3251859596161586e-17,0,-0.37278213158225015,5.3251859596161586e-17,0,1.403724457245584e-05,5.2328339532614621e-06,true,,false,true,true,false,convergence,unconfirmed_at_21,unconfirmed_at_21,resource_pilot,false
